"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"24",0.0277,0.014,0.0156,0.025,0.019,0.018,0.024,0.064,0.0277,0.0277,0.025,0.023,0.017,0.014,0.014,0.024,0.041,0.077,0.019,0.023,0.014,0.023,0.034,0.036,0.036,0.034,0.017,0.025,0.014,0.019,NA
"25",0.0208,0.077,0.018,0.014,0.019,0.041,0.077,0.014,0.019,0.072,0.017,0.014,0.05,0.036,0.0208,0.077,0.0225,0.023,0.023,0.044,0.041,0.0156,0.023,0.041,0.014,0.036,0.034,0.05,0.017,0.0208,NA
"26",0.041,0.0225,0.014,0.012,0.017,0.024,0.014,0.0156,0.0277,0.025,0.023,0.018,0.019,0.0468,0.0156,0.012,0.017,0.017,0.0156,0.024,0.041,0.072,0.017,0.017,0.017,0.041,0.0225,0.024,0.064,0.072,NA
"27",0.018,0.023,0.024,0.024,0.036,0.0208,0.0277,0.0225,0.024,0.023,0.0225,0.0468,0.024,0.036,0.014,0.072,0.019,0.0225,0.0225,0.036,0.0277,0.036,0.025,0.025,0.0208,0.077,0.014,0.023,0.0208,0.014,NA
"28",0.0277,0.036,0.036,0.064,0.012,0.036,0.036,0.041,0.044,0.014,0.0156,0.014,0.077,0.018,0.025,0.0277,0.0277,0.019,0.064,0.072,0.024,0.014,0.034,0.064,0.019,0.041,0.0156,0.044,0.0277,0.0468,NA
"29",0.024,0.019,0.023,0.023,0.05,0.024,0.018,0.041,0.024,0.0208,0.017,0.0277,0.024,0.044,0.023,0.014,0.0277,0.019,0.0277,0.025,0.023,0.072,0.036,0.0468,0.0156,0.072,0.023,0.077,0.036,0.019,NA
"30",0.017,0.0468,0.0208,0.023,0.0468,0.072,0.0277,0.019,0.0277,0.017,0.0468,0.014,0.024,0.077,0.024,0.044,0.014,0.036,0.025,0.0277,0.0156,0.012,0.072,0.041,0.023,0.019,0.0277,0.0208,0.019,0.014,NA
"31",0.019,0.0225,0.036,0.0277,0.05,0.019,0.024,0.072,0.0277,0.041,0.014,0.024,0.034,0.0468,0.077,0.017,0.064,0.034,0.0277,0.0156,0.012,0.0277,0.025,0.036,0.019,0.024,0.072,0.014,0.0208,0.023,NA
"32",0.023,0.012,0.0277,0.044,0.0277,0.023,0.012,0.044,0.0468,0.023,0.023,0.025,0.0277,0.018,0.064,0.0277,0.064,0.023,0.034,0.0156,0.072,0.0468,0.014,0.014,0.025,0.014,0.023,0.014,0.034,0.0156,NA
"33",0.019,0.019,0.036,0.012,0.044,0.024,0.0468,0.019,0.0208,0.036,0.0277,0.019,0.014,0.023,0.014,0.0277,0.014,0.014,0.025,0.0277,0.024,0.018,0.0156,0.025,0.017,0.05,0.014,0.072,0.05,0.072,NA
"34",0.012,0.024,0.072,0.0277,0.0277,0.023,0.036,0.0225,0.023,0.018,0.023,0.0208,0.024,0.019,0.012,0.024,0.024,0.077,0.064,0.064,0.025,0.0156,0.023,0.05,0.0468,0.05,0.024,0.0156,0.034,0.014,NA
"35",0.017,0.0468,0.019,0.019,0.023,0.012,0.0277,0.024,0.012,0.0277,0.0277,0.019,0.018,0.014,0.014,0.017,0.014,0.0156,0.012,0.018,0.023,0.024,0.072,0.025,0.024,0.0277,0.05,0.024,0.012,0.012,NA
"36",0.0156,0.077,0.072,0.0225,0.0208,0.0277,0.012,0.041,0.05,0.019,0.024,0.023,0.017,0.017,0.014,0.024,0.024,0.036,0.019,0.014,0.018,0.044,0.0156,0.036,0.014,0.014,0.034,0.0277,0.034,0.036,NA
"37",0.05,0.024,0.0277,0.0468,0.023,0.023,0.024,0.072,0.0277,0.0277,0.012,0.014,0.012,0.0277,0.072,0.012,0.012,0.077,0.024,0.024,0.023,0.0208,0.018,0.019,0.0225,0.044,0.036,0.05,0.044,0.0277,NA
"38",0.036,0.072,0.017,0.023,0.014,0.014,0.064,0.044,0.0156,0.064,0.034,0.0225,0.036,0.0468,0.05,0.0277,0.05,0.0225,0.0277,0.0468,0.019,0.041,0.0277,0.072,0.024,0.044,0.05,0.014,0.023,0.0277,NA
"39",0.0468,0.0277,0.017,0.014,0.044,0.019,0.064,0.0277,0.019,0.034,0.024,0.019,0.025,0.014,0.036,0.024,0.034,0.014,0.023,0.034,0.0277,0.0225,0.018,0.041,0.023,0.077,0.034,0.044,0.034,0.0277,NA
"40",0.025,0.019,0.012,0.012,0.0208,0.0208,0.019,0.024,0.041,0.019,0.05,0.018,0.077,0.0468,0.077,0.044,0.014,0.077,0.072,0.0468,0.018,0.064,0.041,0.024,0.0277,0.017,0.0208,0.025,0.036,0.064,NA
"41",0.024,0.034,0.019,0.019,0.034,0.014,0.077,0.041,0.072,0.05,0.024,0.0277,0.036,0.064,0.024,0.041,0.023,0.024,0.012,0.044,0.014,0.0225,0.018,0.036,0.0225,0.041,0.044,0.023,0.0156,0.034,NA
"42",0.077,0.0156,0.05,0.024,0.023,0.077,0.023,0.0156,0.023,0.044,0.0468,0.0225,0.0277,0.019,0.024,0.077,0.023,0.023,0.0208,0.023,0.0156,0.017,0.0277,0.019,0.019,0.017,0.024,0.0277,0.041,0.019,NA
"43",0.0208,0.023,0.012,0.014,0.0468,0.0225,0.023,0.0208,0.014,0.025,0.018,0.05,0.024,0.034,0.023,0.034,0.0208,0.0156,0.019,0.064,0.041,0.023,0.018,0.077,0.014,0.014,0.036,0.023,0.019,0.0225,NA
"44",0.034,0.072,0.077,0.077,0.019,0.018,0.014,0.023,0.024,0.0156,0.014,0.025,0.014,0.064,0.012,0.0468,0.023,0.023,0.0208,0.023,0.0277,0.017,0.014,0.019,0.0225,0.017,0.05,0.023,0.014,0.023,NA
"45",0.05,0.0277,0.0277,0.0208,0.077,0.014,0.0277,0.041,0.0208,0.023,0.019,0.023,0.017,0.0277,0.0225,0.023,0.041,0.024,0.044,0.0468,0.044,0.012,0.0277,0.034,0.077,0.019,0.017,0.041,0.017,0.036,NA
"46",0.014,0.036,0.014,0.018,0.0277,0.014,0.0468,0.034,0.024,0.077,0.0277,0.041,0.024,0.014,0.0156,0.0468,0.018,0.019,0.017,0.0277,0.012,0.036,0.023,0.0225,0.017,0.036,0.012,0.024,0.024,0.0277,NA
"47",0.077,0.036,0.034,0.0277,0.019,0.023,0.05,0.034,0.044,0.036,0.0277,0.014,0.019,0.024,0.014,0.064,0.023,0.019,0.0277,0.0156,0.0156,0.041,0.012,0.064,0.024,0.0156,0.014,0.072,0.018,0.0277,NA
"48",0.041,0.024,0.064,0.036,0.0277,0.024,0.014,0.077,0.0208,0.0468,0.024,0.0225,0.017,0.014,0.036,0.044,0.05,0.024,0.024,0.024,0.0468,0.0225,0.014,0.019,0.012,0.014,0.036,0.017,0.019,0.077,NA
"49",0.017,0.0208,0.023,0.0468,0.036,0.0277,0.023,0.0225,0.041,0.0208,0.014,0.025,0.0208,0.041,0.0225,0.018,0.041,0.064,0.024,0.014,0.024,0.041,0.023,0.077,0.019,0.036,0.023,0.0156,0.036,0.077,NA
"50",0.023,0.024,0.077,0.014,0.044,0.018,0.0277,0.014,0.024,0.018,0.019,0.023,0.05,0.044,0.064,0.017,0.0468,0.014,0.041,0.064,0.024,0.05,0.023,0.023,0.044,0.041,0.017,0.023,0.017,0.0208,NA
"51",0.025,0.017,0.014,0.019,0.024,0.012,0.019,0.041,0.014,0.019,0.0208,0.014,0.041,0.064,0.014,0.025,0.0468,0.0277,0.024,0.036,0.034,0.014,0.012,0.041,0.036,0.0468,0.0468,0.019,0.0277,0.017,NA
"52",0.036,0.024,0.019,0.064,0.072,0.017,0.0277,0.077,0.0277,0.0277,0.019,0.0156,0.024,0.0468,0.0277,0.024,0.0277,0.0208,0.019,0.023,0.036,0.041,0.025,0.0208,0.05,0.023,0.024,0.019,0.072,0.0225,NA
"53",0.077,0.041,0.024,0.014,0.0208,0.012,0.072,0.024,0.05,0.019,0.0208,0.05,0.014,0.0277,0.023,0.019,0.024,0.023,0.0277,0.012,0.024,0.018,0.077,0.05,0.018,0.023,0.041,0.014,0.023,0.018,NA
"54",0.0468,0.018,0.0277,0.05,0.044,0.018,0.034,0.05,0.05,0.072,0.023,0.017,0.023,0.018,0.036,0.019,0.024,0.019,0.024,0.044,0.0277,0.019,0.072,0.024,0.077,0.072,0.014,0.041,0.044,0.036,NA
"55",0.024,0.019,0.025,0.019,0.019,0.041,0.019,0.034,0.05,0.019,0.019,0.025,0.017,0.019,0.019,0.0156,0.034,0.019,0.018,0.05,0.014,0.044,0.023,0.0277,0.014,0.017,0.014,0.0468,0.05,0.064,NA
"56",0.024,0.05,0.05,0.064,0.072,0.034,0.024,0.077,0.072,0.023,0.017,0.024,0.012,0.025,0.017,0.0208,0.024,0.019,0.0277,0.0225,0.024,0.05,0.0225,0.0156,0.036,0.025,0.064,0.0156,0.036,0.0277,NA
"57",0.041,0.064,0.018,0.023,0.014,0.034,0.044,0.018,0.017,0.077,0.05,0.025,0.072,0.024,0.014,0.014,0.024,0.0468,0.0468,0.012,0.0468,0.023,0.014,0.014,0.044,0.05,0.014,0.017,0.0277,0.019,NA
"58",0.064,0.018,0.0277,0.0225,0.044,0.0225,0.0208,0.012,0.019,0.036,0.064,0.077,0.044,0.023,0.024,0.019,0.041,0.024,0.024,0.036,0.0277,0.036,0.017,0.044,0.023,0.072,0.023,0.0277,0.012,0.019,NA
"59",0.0468,0.019,0.036,0.044,0.044,0.024,0.036,0.025,0.0208,0.0225,0.0468,0.0277,0.041,0.025,0.0277,0.023,0.017,0.034,0.0208,0.023,0.0277,0.041,0.025,0.041,0.012,0.044,0.018,0.014,0.034,0.077,NA
"60",0.0156,0.017,0.018,0.072,0.0277,0.012,0.012,0.064,0.019,0.024,0.041,0.0156,0.017,0.014,0.0225,0.023,0.018,0.024,0.0208,0.05,0.05,0.036,0.024,0.036,0.036,0.064,0.024,0.0156,0.072,0.023,NA
"61",0.0208,0.018,0.034,0.023,0.077,0.019,0.019,0.023,0.023,0.019,0.036,0.023,0.041,0.072,0.025,0.041,0.044,0.019,0.064,0.0156,0.0468,0.0468,0.024,0.064,0.0208,0.014,0.019,0.05,0.05,0.014,NA
"62",0.036,0.023,0.014,0.017,0.0277,0.041,0.014,0.023,0.041,0.017,0.014,0.023,0.064,0.024,0.041,0.017,0.012,0.0277,0.0468,0.072,0.0277,0.014,0.023,0.014,0.014,0.0156,0.0156,0.0277,0.017,0.012,NA
"63",0.018,0.0468,0.0156,0.0277,0.036,0.023,0.036,0.014,0.017,0.017,0.034,0.012,0.017,0.014,0.05,0.0208,0.014,0.072,0.0156,0.019,0.0468,0.014,0.017,0.077,0.0277,0.0277,0.0225,0.014,0.034,0.064,NA
"64",0.072,0.019,0.077,0.0277,0.014,0.017,0.023,0.064,0.024,0.023,0.0468,0.034,0.0156,0.014,0.0277,0.014,0.034,0.0277,0.023,0.017,0.025,0.023,0.023,0.0208,0.019,0.044,0.025,0.024,0.0225,0.072,NA
"65",0.023,0.072,0.014,0.064,0.018,0.024,0.023,0.064,0.034,0.019,0.017,0.0277,0.077,0.0277,0.0277,0.0277,0.024,0.024,0.024,0.017,0.025,0.014,0.0225,0.024,0.018,0.041,0.017,0.017,0.072,0.0208,NA
"66",0.041,0.034,0.024,0.024,0.012,0.0468,0.024,0.0468,0.072,0.041,0.041,0.017,0.023,0.019,0.024,0.012,0.0277,0.0225,0.0277,0.018,0.036,0.012,0.018,0.0208,0.019,0.036,0.024,0.023,0.0277,0.024,NA
"67",0.014,0.0225,0.0156,0.023,0.014,0.0277,0.014,0.041,0.023,0.0277,0.024,0.0277,0.041,0.0225,0.018,0.017,0.018,0.05,0.012,0.024,0.017,0.05,0.014,0.017,0.072,0.024,0.014,0.0208,0.014,0.017,NA
"68",0.0277,0.018,0.019,0.012,0.014,0.014,0.0277,0.044,0.044,0.034,0.012,0.0156,0.036,0.014,0.0156,0.012,0.023,0.024,0.064,0.025,0.05,0.0277,0.019,0.018,0.05,0.025,0.014,0.014,0.0156,0.036,NA
"69",0.014,0.018,0.0277,0.014,0.044,0.0277,0.0277,0.041,0.012,0.0277,0.014,0.019,0.0468,0.077,0.041,0.0225,0.024,0.0156,0.019,0.05,0.0468,0.019,0.014,0.044,0.041,0.019,0.023,0.014,0.023,0.0208,NA
"70",0.05,0.023,0.023,0.017,0.034,0.034,0.014,0.0277,0.05,0.014,0.044,0.012,0.024,0.025,0.017,0.014,0.014,0.0468,0.025,0.024,0.0225,0.012,0.0277,0.014,0.036,0.023,0.064,0.023,0.077,0.025,NA
"71",0.0208,0.0468,0.041,0.077,0.019,0.0208,0.023,0.036,0.014,0.023,0.0277,0.064,0.077,0.077,0.017,0.025,0.0468,0.072,0.05,0.023,0.014,0.024,0.017,0.023,0.0468,0.014,0.0225,0.025,0.0208,0.036,NA
"72",0.0156,0.0468,0.064,0.024,0.024,0.019,0.023,0.014,0.024,0.017,0.019,0.023,0.041,0.044,0.0208,0.014,0.077,0.018,0.036,0.024,0.077,0.077,0.018,0.0277,0.014,0.0208,0.019,0.0468,0.044,0.023,NA
"73",0.023,0.019,0.036,0.0225,0.044,0.012,0.0277,0.05,0.0208,0.018,0.064,0.019,0.064,0.0277,0.0277,0.0225,0.064,0.034,0.072,0.023,0.064,0.024,0.0277,0.019,0.0277,0.034,0.014,0.041,0.0156,0.0468,NA
"74",0.0225,0.019,0.017,0.023,0.019,0.0468,0.019,0.019,0.044,0.012,0.044,0.0468,0.064,0.041,0.0208,0.0277,0.0208,0.025,0.0156,0.0277,0.0277,0.024,0.0277,0.064,0.014,0.014,0.023,0.014,0.014,0.034,NA
"75",0.014,0.024,0.077,0.072,0.012,0.0156,0.019,0.019,0.019,0.077,0.036,0.072,0.0156,0.0208,0.05,0.0156,0.0277,0.017,0.05,0.072,0.077,0.024,0.064,0.0468,0.0156,0.0156,0.023,0.064,0.036,0.072,NA
"76",0.0277,0.0468,0.064,0.05,0.024,0.023,0.0225,0.0208,0.019,0.014,0.019,0.064,0.0468,0.072,0.019,0.023,0.0468,0.019,0.064,0.044,0.036,0.0225,0.0277,0.024,0.0468,0.024,0.0156,0.0468,0.017,0.017,NA
"77",0.0208,0.014,0.044,0.0208,0.014,0.0208,0.0208,0.017,0.072,0.036,0.023,0.025,0.077,0.012,0.077,0.025,0.024,0.064,0.014,0.036,0.019,0.023,0.023,0.0468,0.025,0.041,0.019,0.064,0.0156,0.072,NA
"78",0.014,0.012,0.023,0.044,0.064,0.0468,0.023,0.0468,0.012,0.0225,0.0156,0.0277,0.034,0.044,0.0277,0.014,0.0208,0.044,0.034,0.019,0.064,0.072,0.041,0.019,0.044,0.019,0.017,0.023,0.025,0.012,NA
"79",0.019,0.024,0.044,0.019,0.019,0.014,0.017,0.023,0.019,0.019,0.023,0.034,0.0468,0.0468,0.0156,0.0208,0.0277,0.0277,0.044,0.019,0.019,0.036,0.024,0.025,0.0156,0.0277,0.072,0.024,0.0468,0.05,NA
"80",0.064,0.023,0.014,0.044,0.036,0.0225,0.018,0.012,0.077,0.024,0.0277,0.014,0.0277,0.05,0.0277,0.072,0.023,0.019,0.0156,0.023,0.018,0.024,0.05,0.024,0.019,0.024,0.025,0.018,0.017,0.036,NA
"81",0.018,0.023,0.018,0.072,0.012,0.072,0.05,0.0277,0.014,0.0225,0.05,0.017,0.072,0.018,0.014,0.034,0.0208,0.077,0.072,0.044,0.019,0.023,0.023,0.023,0.05,0.024,0.014,0.034,0.0225,0.0468,NA
"82",0.077,0.077,0.025,0.024,0.0225,0.023,0.036,0.024,0.014,0.036,0.018,0.0277,0.019,0.0208,0.019,0.064,0.019,0.034,0.05,0.05,0.019,0.0208,0.041,0.0225,0.0208,0.024,0.019,0.025,0.014,0.025,NA
"83",0.017,0.034,0.023,0.05,0.072,0.036,0.014,0.072,0.072,0.034,0.023,0.012,0.025,0.018,0.0225,0.036,0.05,0.072,0.034,0.064,0.077,0.034,0.014,0.024,0.025,0.0277,0.044,0.018,0.036,0.017,NA
"84",0.041,0.019,0.05,0.023,0.017,0.017,0.018,0.0277,0.05,0.0277,0.0208,0.024,0.018,0.034,0.012,0.024,0.019,0.0277,0.0208,0.0208,0.0277,0.05,0.017,0.023,0.0468,0.0208,0.023,0.041,0.036,0.034,NA
"85",0.025,0.036,0.014,0.0277,0.025,0.044,0.0225,0.0225,0.036,0.0468,0.0208,0.025,0.05,0.024,0.017,0.034,0.05,0.014,0.023,0.019,0.019,0.019,0.018,0.012,0.072,0.023,0.064,0.0208,0.025,0.0208,NA
"86",0.077,0.036,0.019,0.017,0.034,0.024,0.014,0.023,0.014,0.018,0.064,0.012,0.012,0.014,0.034,0.0468,0.072,0.024,0.041,0.0156,0.024,0.014,0.036,0.05,0.025,0.024,0.024,0.034,0.072,0.023,NA
"87",0.0225,0.014,0.018,0.036,0.0277,0.019,0.0277,0.017,0.014,0.024,0.077,0.014,0.023,0.044,0.024,0.041,0.0468,0.05,0.041,0.025,0.034,0.018,0.023,0.034,0.041,0.024,0.019,0.036,0.0277,0.012,NA
"88",0.072,0.077,0.014,0.077,0.0277,0.018,0.019,0.017,0.072,0.023,0.014,0.0225,0.017,0.0277,0.024,0.072,0.034,0.017,0.024,0.014,0.0225,0.024,0.014,0.072,0.024,0.05,0.072,0.0277,0.0468,0.024,NA
"89",0.0277,0.05,0.0277,0.024,0.012,0.012,0.025,0.017,0.041,0.012,0.019,0.041,0.017,0.05,0.0277,0.0156,0.023,0.0225,0.0225,0.014,0.024,0.0277,0.072,0.023,0.0277,0.014,0.018,0.044,0.023,0.0277,NA
"90",0.023,0.025,0.024,0.024,0.072,0.041,0.017,0.025,0.024,0.023,0.023,0.012,0.0225,0.0225,0.05,0.0468,0.034,0.05,0.019,0.0208,0.0156,0.019,0.0277,0.024,0.014,0.044,0.019,0.044,0.0156,0.05,NA
"91",0.024,0.0156,0.014,0.014,0.019,0.044,0.018,0.05,0.023,0.077,0.064,0.018,0.023,0.05,0.036,0.0156,0.036,0.019,0.064,0.014,0.019,0.024,0.072,0.0277,0.023,0.05,0.0277,0.014,0.023,0.017,NA
"92",0.041,0.024,0.019,0.018,0.05,0.019,0.034,0.017,0.0277,0.05,0.017,0.05,0.077,0.017,0.024,0.077,0.024,0.0277,0.024,0.024,0.014,0.072,0.05,0.036,0.024,0.077,0.0468,0.0468,0.05,0.018,NA
"93",0.036,0.064,0.012,0.019,0.014,0.0468,0.044,0.0225,0.012,0.077,0.064,0.023,0.018,0.05,0.024,0.077,0.017,0.025,0.041,0.0156,0.0225,0.014,0.0277,0.023,0.044,0.0225,0.072,0.024,0.072,0.023,NA
"94",0.0225,0.023,0.014,0.023,0.017,0.012,0.072,0.0225,0.014,0.019,0.014,0.018,0.023,0.072,0.036,0.0277,0.014,0.0277,0.025,0.0156,0.0277,0.014,0.019,0.0277,0.024,0.0277,0.012,0.019,0.041,0.023,NA
"95",0.019,0.044,0.012,0.023,0.05,0.012,0.014,0.017,0.05,0.0225,0.034,0.018,0.023,0.014,0.044,0.0225,0.024,0.0225,0.072,0.0277,0.034,0.019,0.0208,0.0208,0.019,0.041,0.019,0.019,0.0277,0.019,NA
"96",0.014,0.0225,0.064,0.025,0.024,0.0277,0.019,0.0468,0.0225,0.024,0.023,0.0277,0.064,0.034,0.023,0.014,0.024,0.017,0.077,0.0225,0.064,0.014,0.023,0.019,0.05,0.012,0.041,0.018,0.014,0.072,NA
"97",0.064,0.023,0.05,0.044,0.023,0.018,0.017,0.0208,0.072,0.041,0.012,0.0225,0.0277,0.044,0.0277,0.0225,0.0225,0.036,0.0277,0.019,0.05,0.0277,0.024,0.041,0.023,0.024,0.017,0.0156,0.019,0.036,NA
"98",0.05,0.012,0.0468,0.0156,0.014,0.014,0.0468,0.0208,0.0225,0.0156,0.014,0.0156,0.0277,0.064,0.012,0.044,0.05,0.018,0.05,0.0277,0.044,0.05,0.019,0.023,0.023,0.023,0.023,0.023,0.0225,0.036,NA
"99",0.023,0.014,0.0156,0.024,0.024,0.019,0.077,0.0208,0.0277,0.018,0.0468,0.036,0.036,0.041,0.018,0.034,0.018,0.017,0.064,0.017,0.041,0.0156,0.077,0.012,0.014,0.012,0.012,0.019,0.064,0.034,NA
"100",0.036,0.019,0.036,0.0468,0.034,0.044,0.017,0.018,0.0468,0.024,0.025,0.023,0.077,0.023,0.05,0.044,0.018,0.0225,0.014,0.05,0.012,0.025,0.0208,0.0277,0.0208,0.018,0.044,0.014,0.017,0.041,NA
